N,Pi,Erro Exp,Erro Real,Exp-Real,Time
10,10.0,3.162277660168379,6.858407346410207,3.696129686241828,2.1457672119140625e-05
50,4.166666666666667,0.5892556509887896,1.0250740130768738,0.4358183620880842,1.7642974853515625e-05
100,3.0303030303030303,0.30303030303030304,0.11128962328676284,0.1917406797435402,3.24249267578125e-05
500,3.2467532467532467,0.14519921931816815,0.10516059316345361,0.04003862615471454,0.00015616416931152344
1000,3.1545741324921135,0.09975639306524856,0.012981478902320376,0.08677491416292818,0.0003104209899902344
5000,3.1826861871419476,0.045009979706336564,0.041093533552154504,0.00391644615418206,0.0015957355499267578
7500,3.216123499142367,0.03713659535953854,0.07453084555257394,0.037394250193035404,0.0023818016052246094
10000,3.1133250311332503,0.031133250311332503,0.028267622456542796,0.002865627854789707,0.003192901611328125
25000,3.127736769673464,0.019781544227251213,0.01385588391632897,0.005925660310922242,0.007941961288452148
50000,3.146831141040972,0.014073056690161683,0.00523848745117883,0.008834569238982853,0.01566338539123535
100000,3.1106134129650367,0.009836623305239453,0.030979240624756432,0.021142617319516978,0.03159809112548828
250000,3.1494079113126734,0.0062988158226253465,0.007815257722880276,0.001516441900254929,0.07814192771911621
500000,3.148971545893111,0.004453318267729009,0.007378892303318008,0.002925574035588999,0.17490744590759277
750000,3.131680919294495,0.003616153643541383,0.009911734295298125,0.006295580651756742,0.23535609245300293
1000000,3.140604880499984,0.003140604880499984,0.0009877730898089077,0.0021528317906910764,0.31354475021362305
2500000,3.1389802332136756,0.001985265413440347,0.00261242037611753,0.0006271549626771832,0.7879557609558105
5000000,3.142991662900315,0.0014055886021920416,0.001399009310521837,6.579291670204528e-06,1.579698085784912
10000000,3.1427773163133086,0.0009938334498261507,0.0011846627235154727,0.00019082927368932207,3.2034668922424316
30000000,3.140907387204781,0.0005734486090022238,0.0006852663850120955,0.00011181777600987165,9.809892654418945
50000000,3.1412520528082166,0.00044424012559137057,0.0003406007815764944,0.00010363934401487614,15.86510157585144
100000000,3.141370466845348,0.0003141370466845348,0.00022218674444518527,9.195030223934953e-05,32.896531105041504
200000000,3.141721320836194,0.00022215324505616297,0.00012866724640092642,9.348599865523655e-05,65.37246227264404
300000000,3.1418736286899813,0.0001813961585283947,0.0002809751001882077,9.957894165981299e-05,95.10711526870728
400000000,3.141717076564399,0.00015708585382821996,0.00012442297460601992,3.2662879222200043e-05,142.84077715873718
500000000,3.1415656326592942,0.0001404950862080663,2.7020930498888873e-05,0.00011347415570917742,164.42629528045654
600000000,3.141527987796923,0.00012825234304624734,6.466579287023322e-05,6.358655017601412e-05,192.60543990135193
750000000,3.141798726520898,0.00011472226891043335,0.0002060729311050835,9.135066219465016e-05,243.31599950790405
900000000,3.1415729645697277,0.00010471909881899092,1.968902006543871e-05,8.503007875355221e-05,287.4187994003296
1000000000,3.141600965632632,9.93461455078348e-05,8.312042838909406e-06,9.10341026689254e-05,309.7092373371124
2000000000,3.1413091025900775,7.024180691730273e-05,0.0002835509997156649,0.00021330919279836214,630.3123722076416
