N,Pi,ErroExp,ErroReal,ExpReal,Time
10,2,0.632455532033676,1.14159265358979,0.509137121556117,0.011622667312622
50,2.77777777777778,0.392837100659193,0.363814875812015,0.029022224847178,0.000515699386597
100,3.125,0.3125,0.016592653589793,0.295907346410207,0.000642061233521
500,3.03030303030303,0.135519271363624,0.111289623286763,0.024229648076861,0.003098487854004
1000,3.25732899022801,0.103005786976169,0.11573633663822,0.012730549662051,0.006991147994995
5000,3.19488817891374,0.045182541928853,0.053295525323945,0.008112983395092,0.025887966156006
7500,3.13152400835073,0.036159724583901,0.010068645239063,0.026091079344839,0.036948442459106
10000,3.1496062992126,0.031496062992126,0.008013645622805,0.023482417369321,0.03253698348999
25000,3.16816626536561,0.02003724280933,0.026573611775813,0.006536368966484,0.086891889572144
50000,3.14386317907445,0.014059783560738,0.002270525484654,0.011789258076084,0.173003435134888
100000,3.15427562060373,0.009974695329049,0.012682967013936,0.002708271684887,0.347718000411987
250000,3.1379046328024,0.006275809265605,0.003688020787393,0.002587788478212,0.877035617828369
500000,3.14121653033787,0.004442351019554,0.000376123251924,0.00406622776763,1.7360565662384
750000,3.13528110930426,0.003620310784884,0.006311544285533,0.002691233500649,2.62739253044128
1000000,3.13829854006352,0.003138298540064,0.003294113526274,0.000155814986211,3.580561876297
2500000,3.14064038913791,0.001986315388239,0.000952264451886,0.001034050936352,8.62843799591064
5000000,3.14636381027175,0.001407096672343,0.004771156681952,0.00336406000961,17.2646267414093
10000000,3.14241684536544,0.000993719458904,0.000824191775645,0.000169527683259,34.5623025894165
30000000,3.14053452316322,0.000573380533653,0.001058130426571,0.000484749892918,172.111026446025
50000000,3.14120607109693,0.000444233622795,0.000386582492866,5.77E-05,286.687705119451
100000000,3.14248211904106,0.000314248211904,0.000889465451263,0.000575217239359,573.865658044815
200000000,3.14215019946134,0.000222183571355,0.000557545871545,0.00033536230019,1147.35358039538
300000000,3.14114459979603,0.000181354068026,0.00044805379376,0.000266699725735,1726.74112915993
400000000,3.14157319759915,0.00015707865988,1.95E-05,0.000137622669237,2295.35143176715
500000000,3.14139182179352,0.00014048731315,0.000200831796277,6.03E-05,2864.2256518205
600000000,3.14155726669082,0.000128253538352,3.54E-05,9.29E-05,3443.20449988047
5000000000,3.14176071743807,0.000114720881015,0.000168063848274,"0.00033",4302.51522898674
900000000,3.14145054391546,0.000104715018131,0.000142109674334,"0.00074",5171.88849846522
1000000000,3.14153918279719,9.93E-05,5.35E-05,4.59E-05,5736.49051348368
2000000000,3.14162462831262,7.02E-05,3.20E-05,3.83E-05,19150.1191635927
