Records,Features,Language,Model,Time
2000,32,Julia,NB,0
2000,64,Python,NB,0.003154797987504439
2000,64,R,NB,0.0165539
2000,64,Julia,NB,0.01841991
2000,128,Python,NB,0.004354737021706321
2000,128,R,NB,0.02462969
2000,128,Julia,NB,0
5000,4,Python,NB,0.0026646744121204724
5000,4,R,NB,0.00354507
5000,4,Julia,NB,0.0045122867
5000,8,Python,NB,0.002353148026899858
5000,8,R,NB,0.005326128
5000,8,Julia,NB,0.0050158384
5000,16,Python,NB,0.0027217431501908736
5000,16,R,NB,0.07635677
5000,16,Julia,NB,0.0060557635
5000,32,Python,NB,0.0033968795429576526
5000,32,R,NB,0.01653283
5000,32,Julia,NB,0.011714501
5000,64,Python,NB,0.005753061988136985
5000,64,R,NB,0.02680311
5000,64,Julia,NB,0.03590498
5000,128,Python,NB,0.008622602982954546
5000,128,R,NB,0.04046311
5000,128,Julia,NB,0.06382183
10000,4,Python,NB,0.0025300979614257812
10000,4,R,NB,0.003180909
10000,4,Julia,NB,0.008651329
10000,8,Python,NB,0.003839297728105025
10000,8,R,NB,0.006382751
10000,8,Julia,NB,0.009466979
10000,16,Python,NB,0.004299163818359375
10000,16,R,NB,0.01243711
10000,16,Julia,NB,0.011442571
10000,32,Python,NB,0.005827318538318981
10000,32,R,NB,0.01736851
10000,32,Julia,NB,0.023007382
10000,64,Python,NB,0.009385434063998136
10000,64,R,NB,0.03132768
10000,64,Julia,NB,0.057574052
10000,128,Python,NB,0.016678159887140446
10000,128,R,NB,0.06167784
10000,128,Julia,NB,0.11968303
25000,4,Python,NB,0.0041827505285089665
25000,4,R,NB,0.005821776
25000,4,Julia,NB,0.020505711
25000,8,Python,NB,0.005100336941805753
25000,8,R,NB,0.01180844
25000,8,Julia,NB,0.022323469
25000,16,Python,NB,0.006951657208529386
25000,16,R,NB,0.01881065
25000,16,Julia,NB,0.026862819
25000,32,Python,NB,0.010932879014448687
25000,32,R,NB,0.03549178
25000,32,Julia,NB,0.051867105
25000,64,Python,NB,0.02008787068453702
25000,64,R,NB,0.1035483
25000,64,Julia,NB,0.11776884
25000,128,Python,NB,0.039113608273592865
25000,128,R,NB,0.1319048
25000,128,Julia,NB,0.23100391
50000,4,Python,NB,0.006060080094770951
50000,4,R,NB,0.01058149
50000,4,Julia,NB,0.04041953
50000,8,Python,NB,0.00815140117298473
50000,8,R,NB,0.02022922
50000,8,Julia,NB,0.04186134
50000,16,Python,NB,0.012069312008944426
50000,16,R,NB,0.03341131
50000,16,Julia,NB,0.053863637
50000,32,Python,NB,0.022517139261419124
50000,32,R,NB,0.05779607
50000,32,Julia,NB,0.10583892
50000,64,Python,NB,0.03818778558210893
50000,64,R,NB,0.1206737
50000,64,Julia,NB,0.20438278
50000,128,Python,NB,0.10816157947887074
50000,128,R,NB,0.2504961
50000,128,Julia,NB,0.45233718
100000,4,Python,NB,0.01147738370028409
100000,4,R,NB,0.01971846
100000,4,Julia,NB,0.08125037
100000,8,Python,NB,0.015287702733820135
100000,8,R,NB,0.0335779
100000,8,Julia,NB,0.09784721
100000,16,Python,NB,0.023569757288152523
100000,16,R,NB,0.05934503
100000,16,Julia,NB,0.10097184
100000,32,Python,NB,0.03857775167985396
100000,32,R,NB,0.1228737
100000,32,Julia,NB,0.17511462
100000,64,Python,NB,0.10111709074540572
100000,64,R,NB,0.2352679
100000,64,Julia,NB,0
100000,128,Python,NB,0.21027491309426047
100000,128,R,NB,0.4618225
100000,128,Julia,NB,0.8128188
500000,4,Python,NB,0.051757855848832565
500000,4,R,NB,0.07775087
500000,4,Julia,NB,0.3725299
